anaf,n,months,wage,rashut,ענף,ratio,w_nat
71,77,10.5,15310.5,מבואות החרמון,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,98.5,15541.5
72,87,10.4,22580.1,מבואות החרמון,מחקר מדעי ופיתוח,66.4,34019.0
83,256,9.9,10608.4,מבואות החרמון,מינהל מקומי,92.0,11536.4
84,104,10.8,19464.6,מבואות החרמון,מינהל ציבורי וביטחון; ביטוח לאומי חובה,99.9,19488.5
85,514,9.9,12312.9,מבואות החרמון,חינוך,110.3,11163.3
86,117,10.4,14939.0,מבואות החרמון,שירותי בריאות,92.7,16108.9
87+88,221,8.6,6306.3,מבואות החרמון,מגורים טיפוליים +,121.8,5177.2
93,81,7.1,6798.5,מבואות החרמון,"פעילויות ספורט, בילוי ופנאי",110.3,6163.2
94,118,8.7,7748.8,מבואות החרמון,פעילויות של ארגוני חברים,110.4,7018.5
1,1281,8.0,8990.4,גולן,גידולים צמחיים,105.6,8514.2
10,144,9.4,14186.1,גולן,ייצור מוצרי מזון,133.8,10603.5
11+12,151,9.3,10937.9,גולן,ייצור משקאות +,74.6,14655.8
2+3+4,206,9.4,10307.6,גולן,ייעור וכריתת עצים +,76.4,13491.9
22,54,11.1,24221.7,גולן,ייצור מוצרי גומי ופלסטיק,169.5,14290.8
26,68,11.4,30080.9,גולן,"ייצור מחשבים, מכשור אלקטרוני ואופטי",115.8,25982.4
27+28,169,10.7,17134.5,גולן,ייצור ציוד חשמלי +,86.5,19812.5
31+32+33+34,70,10.6,18240.0,גולן,ייצור רהיטים +,127.9,14260.9
35+36+37+38+39,77,11.2,22772.0,גולן,"אספקת חשמל, גז, קיטור ומיזוג אוויר (קירור) +",98.3,23164.3
41,94,8.6,12795.0,גולן,בניית מבנים ובניינים,99.9,12807.7
43,138,8.7,13262.8,גולן,עבודות בנייה מיוחדות,124.7,10639.2
45,52,11.2,16572.8,גולן,מסחר סיטוני וקמעוני בכלי רכב מנועיים ובאופנועים ותיקונם,131.4,12610.3
46,201,10.0,17220.3,גולן,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",117.5,14657.0
47,313,8.5,7632.1,גולן,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",99.7,7653.0
49,52,10.0,13460.3,גולן,הובלה יבשתית והובלה באמצעות קווי צינורות,114.8,11726.1
55,280,7.8,7895.0,גולן,שירותי אירוח,80.3,9830.5
56,404,7.7,5677.9,גולן,שירותי מזון ומשקאות,107.1,5301.7
62+63,288,10.5,27962.8,גולן,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",87.4,31994.1
64+65+66,125,10.3,18162.3,גולן,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",83.0,21885.1
69,76,10.1,12650.8,גולן,שירותים משפטיים ושירותי חשבונאות,94.2,13434.3
70,158,10.2,14042.3,גולן,שירותי משרדים ראשיים; שירותי ייעוץ ניהולי,83.6,16796.8
71,137,10.6,16166.0,גולן,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,104.0,15541.5
72,150,10.5,22708.8,גולן,מחקר מדעי ופיתוח,66.8,34019.0
73+74+75,105,9.3,11890.9,גולן,פרסום וחקר שווקים +,93.2,12762.2
77+79,102,8.3,10827.2,גולן,שירותי השכרה והחכרה +,86.3,12539.6
78,56,6.4,7153.0,גולן,שירותי תעסוקה,117.3,6099.3
80,71,8.9,11958.4,גולן,"שירותי שמירה, אבטחה וחקירה",131.8,9072.4
81,97,8.9,8461.5,גולן,שירותי תחזוקה לבניינים ועבודות גינון,115.5,7323.5
82,58,7.5,8568.4,גולן,שירותי ניהול ותמיכה למשרדים ולעסקים,106.2,8069.6
83,787,9.2,8105.9,גולן,מינהל מקומי,70.3,11536.4
84,166,10.7,20053.2,גולן,מינהל ציבורי וביטחון; ביטוח לאומי חובה,102.9,19488.5
85,1732,10.5,14145.0,גולן,חינוך,126.7,11163.3
86,249,10.6,14132.4,גולן,שירותי בריאות,87.7,16108.9
87+88,326,8.7,5997.0,גולן,מגורים טיפוליים +,115.8,5177.2
